timestamp,datetime,Door Count 1,Door Count 1+,Door Count 1-,Door Count 1*,Door Count 2,Door Count 2+,Door Count 2-,Door Count 2*
1679871600,2023-03-27 00:00:00,0,0,0,48455,0,0,0,-115498
1679872500,2023-03-27 00:15:00,0,0,0,48455,0,0,0,-115498
1679873400,2023-03-27 00:30:00,0,0,0,48455,0,0,0,-115498
1679874300,2023-03-27 00:45:00,0,0,0,48455,0,0,0,-115498
1679875200,2023-03-27 01:00:00,0,0,0,48455,0,0,0,-115498
1679876100,2023-03-27 01:15:00,0,0,0,48455,0,0,0,-115498
1679877000,2023-03-27 01:30:00,0,0,0,48455,0,0,0,-115498
1679877900,2023-03-27 01:45:00,0,0,0,48455,0,0,0,-115498
1679878800,2023-03-27 02:00:00,0,0,0,48455,0,0,0,-115498
1679879700,2023-03-27 02:15:00,0,0,0,48455,0,0,0,-115498
1679880600,2023-03-27 02:30:00,0,0,0,48455,0,0,0,-115498
1679881500,2023-03-27 02:45:00,0,0,0,48455,0,0,0,-115498
1679882400,2023-03-27 03:00:00,0,0,0,48455,0,0,0,-115498
1679883300,2023-03-27 03:15:00,0,0,0,48455,0,0,0,-115498
1679884200,2023-03-27 03:30:00,0,0,0,48455,0,0,0,-115498
1679885100,2023-03-27 03:45:00,0,0,0,48455,0,0,0,-115498
1679886000,2023-03-27 04:00:00,0,0,0,48455,0,0,0,-115498
1679886900,2023-03-27 04:15:00,0,0,0,48455,0,0,0,-115498
1679887800,2023-03-27 04:30:00,0,0,0,48455,0,0,0,-115498
1679888700,2023-03-27 04:45:00,0,0,0,48455,0,0,0,-115498
1679889600,2023-03-27 05:00:00,0,0,0,48455,0,0,0,-115498
1679890500,2023-03-27 05:15:00,0,0,0,48455,0,0,0,-115498
1679891400,2023-03-27 05:30:00,0,0,0,48455,0,0,0,-115498
1679892300,2023-03-27 05:45:00,0,0,0,48455,0,0,0,-115498
1679893200,2023-03-27 06:00:00,0,0,0,48455,0,0,0,-115498
1679894100,2023-03-27 06:15:00,0,0,0,48455,0,0,0,-115498
1679895000,2023-03-27 06:30:00,0,0,0,48455,0,0,0,-115498
1679895900,2023-03-27 06:45:00,0,0,0,48455,0,0,0,-115498
1679896800,2023-03-27 07:00:00,0,0,0,48455,0,0,0,-115498
1679897700,2023-03-27 07:15:00,0,0,0,48455,0,0,0,-115498
1679898600,2023-03-27 07:30:00,0,0,0,48455,0,0,0,-115498
1679899500,2023-03-27 07:45:00,0,0,0,48455,0,0,0,-115498
1679900400,2023-03-27 08:00:00,0,0,0,48455,0,0,0,-115498
1679901300,2023-03-27 08:15:00,0,0,0,48455,0,0,0,-115498
1679902200,2023-03-27 08:30:00,0,0,0,48455,0,0,0,-115498
1679903100,2023-03-27 08:45:00,0,0,0,48455,-2,7,9,-115500
1679904000,2023-03-27 09:00:00,0,0,0,48455,0,0,0,-115500
1679904900,2023-03-27 09:15:00,0,0,0,48455,0,0,0,-115500
1679905800,2023-03-27 09:30:00,0,0,0,48455,0,0,0,-115500
1679906700,2023-03-27 09:45:00,0,0,0,48455,0,0,0,-115500
1679907600,2023-03-27 10:00:00,-2,1,3,48453,3,10,7,-115497
1679908500,2023-03-27 10:15:00,-3,1,4,48450,1,1,0,-115496
1679909400,2023-03-27 10:30:00,1,2,1,48451,-5,5,10,-115501
1679910300,2023-03-27 10:45:00,2,3,1,48453,-1,5,6,-115502
1679911200,2023-03-27 11:00:00,-1,3,4,48452,-3,8,11,-115505
1679912100,2023-03-27 11:15:00,4,8,4,48456,-5,5,10,-115510
1679913000,2023-03-27 11:30:00,3,7,4,48459,-11,8,19,-115521
1679913900,2023-03-27 11:45:00,1,4,3,48460,3,21,18,-115518
1679914800,2023-03-27 12:00:00,2,6,4,48462,-8,5,13,-115526
